,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
28017,56735,56740.0,-1.0,5.0,0.0009692352156639147,2022-10-19 14:54:00,2022-10-19 14:59:00
28018,56740,56741.0,1.0,1.0,-0.001706799162696374,2022-10-19 14:59:00,2022-10-19 15:00:00
28019,56742,56746.0,1.0,4.0,-6.713436946541823e-05,2022-10-20 09:30:00,2022-10-20 09:34:00
28020,56746,56751.0,-1.0,5.0,0.0032951174698904293,2022-10-20 09:34:00,2022-10-20 09:39:00
28021,56751,56752.0,1.0,1.0,-0.002056538661200438,2022-10-20 09:39:00,2022-10-20 09:40:00
28022,56753,56755.0,-1.0,2.0,-0.0013508039336161458,2022-10-20 09:41:00,2022-10-20 09:43:00
28023,56755,56756.0,1.0,1.0,0.0016185598354108027,2022-10-20 09:43:00,2022-10-20 09:44:00
28024,56756,56757.0,-1.0,1.0,0.0029355714229898893,2022-10-20 09:44:00,2022-10-20 09:45:00
28025,56757,56758.0,1.0,1.0,0.0022277738235456485,2022-10-20 09:45:00,2022-10-20 09:46:00
28026,56758,56759.0,-1.0,1.0,0.00037095115673155304,2022-10-20 09:46:00,2022-10-20 09:47:00
28027,56759,56760.0,1.0,1.0,-0.001552742928007154,2022-10-20 09:47:00,2022-10-20 09:48:00
28028,56760,56761.0,-1.0,1.0,-0.0017550969808374397,2022-10-20 09:48:00,2022-10-20 09:49:00
28029,56761,56762.0,1.0,1.0,-0.0009784241405389592,2022-10-20 09:49:00,2022-10-20 09:50:00
28030,56762,56765.0,-1.0,3.0,0.0005064573417956604,2022-10-20 09:50:00,2022-10-20 09:53:00
28031,56765,56767.0,1.0,2.0,-0.0029086502056938483,2022-10-20 09:53:00,2022-10-20 09:55:00
28032,56767,56769.0,-1.0,2.0,-0.0004402228275831642,2022-10-20 09:55:00,2022-10-20 09:57:00
28033,56769,56770.0,1.0,1.0,0.0,2022-10-20 09:57:00,2022-10-20 09:58:00
28034,56770,56771.0,-1.0,1.0,0.0012534513896150469,2022-10-20 09:58:00,2022-10-20 09:59:00
28035,56771,56772.0,1.0,1.0,0.0017611601111100223,2022-10-20 09:59:00,2022-10-20 10:00:00
28036,56772,56773.0,-1.0,1.0,0.0008124577291866031,2022-10-20 10:00:00,2022-10-20 10:01:00
28037,56773,56774.0,1.0,1.0,-0.0007792252185655575,2022-10-20 10:01:00,2022-10-20 10:02:00
28038,56774,56777.0,-1.0,3.0,-0.00010167251292371801,2022-10-20 10:02:00,2022-10-20 10:05:00
28039,56777,56778.0,1.0,1.0,-0.00010167251292394008,2022-10-20 10:05:00,2022-10-20 10:06:00
28040,56778,56779.0,-1.0,1.0,0.000440700381727804,2022-10-20 10:06:00,2022-10-20 10:07:00
28041,56779,56780.0,1.0,1.0,0.0002712232183699977,2022-10-20 10:07:00,2022-10-20 10:08:00
28042,56780,56781.0,-1.0,1.0,0.0002373162928770713,2022-10-20 10:08:00,2022-10-20 10:09:00
28043,56781,56783.0,1.0,2.0,-0.0008819539241969338,2022-10-20 10:09:00,2022-10-20 10:11:00
28044,56783,56785.0,-1.0,2.0,0.0005770830311043186,2022-10-20 10:11:00,2022-10-20 10:13:00
28045,56785,56786.0,1.0,1.0,-0.0013251560696259726,2022-10-20 10:13:00,2022-10-20 10:14:00
28046,56786,56788.0,-1.0,2.0,-0.0004079273945815203,2022-10-20 10:14:00,2022-10-20 10:16:00
28047,56788,56789.0,1.0,1.0,0.0017996914822013645,2022-10-20 10:16:00,2022-10-20 10:17:00
28048,56789,56790.0,-1.0,1.0,-0.0005087591474400422,2022-10-20 10:17:00,2022-10-20 10:18:00
28049,56790,56791.0,1.0,1.0,0.001321563703638591,2022-10-20 10:18:00,2022-10-20 10:19:00
28050,56791,56792.0,-1.0,1.0,0.00030482125856247323,2022-10-20 10:19:00,2022-10-20 10:20:00
28051,56792,56797.0,1.0,5.0,0.002131800147500507,2022-10-20 10:20:00,2022-10-20 10:25:00
28052,56797,56798.0,-1.0,1.0,0.0006424453719761592,2022-10-20 10:25:00,2022-10-20 10:26:00
28053,56798,56799.0,1.0,1.0,0.0006086427455083207,2022-10-20 10:26:00,2022-10-20 10:27:00
28054,56799,56801.0,-1.0,2.0,-0.004351132592048163,2022-10-20 10:27:00,2022-10-20 10:29:00
28055,56801,56803.0,1.0,2.0,-0.0010438941563852544,2022-10-20 10:29:00,2022-10-20 10:31:00
28056,56803,56804.0,-1.0,1.0,-0.0008419351533762877,2022-10-20 10:31:00,2022-10-20 10:32:00
28057,56804,56806.0,1.0,2.0,0.00023561487175427856,2022-10-20 10:32:00,2022-10-20 10:34:00
28058,56806,56807.0,-1.0,1.0,0.00020195220533129996,2022-10-20 10:34:00,2022-10-20 10:35:00
